epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9486,1.30265,8.97628,0.65294,0.94555,1.18342,0.99453,0.99358,0.9908,0.68859,0,0,0,0,1.0736,8.31651,0.54987,0.54676,1.11501,0.000655738,0.000655738,0.000655738
2,20.0192,0.96263,6.88482,0.53397,0.59133,1.04615,0.99436,0.99454,0.9936,0.75639,0.44781,0.44536,0.35784,0.11668,0.88179,5.30586,0.26066,0.50182,1.03841,0.00129622,0.00129622,0.00129622
3,28.9997,0.89239,5.41818,0.39006,0.55447,1.00431,0.9941,0.99454,0.99427,0.7743,0.34973,0.34973,0.12798,0.02526,0.807,4.1871,0.0751,0.49633,1.00987,0.0019103,0.0019103,0.0019103
4,37.9695,0.88694,4.43744,0.36372,0.56335,1.0057,0.99345,0.99454,0.99292,0.77467,0.6921,0.69126,0.56845,0.26171,0.83875,3.1098,0.08559,0.52185,1.00272,0.0018812,0.0018812,0.0018812
5,46.9569,0.82061,3.86631,0.36118,0.52172,0.98631,0.99315,0.99454,0.99177,0.76434,0.8403,0.84153,0.78548,0.40231,0.83288,2.41134,0.07729,0.49175,0.99974,0.0018416,0.0018416,0.0018416
6,55.9336,0.78413,3.30067,0.34929,0.49394,0.97926,0.9943,0.99454,0.99198,0.81348,0.82769,0.82787,0.76723,0.37384,0.73224,2.41848,0.06405,0.45272,0.97125,0.001802,0.001802,0.001802
7,64.9659,0.75533,2.91619,0.34753,0.48576,0.95052,0.99437,0.99454,0.99247,0.83145,0.90422,0.90437,0.8926,0.56454,0.71624,1.9379,0.08255,0.42002,0.96812,0.0017624,0.0017624,0.0017624
8,74.0233,0.73067,2.81112,0.36775,0.47676,0.94326,0.99434,0.99454,0.99025,0.79445,0.92332,0.9235,0.87093,0.55553,0.72027,1.70214,0.0779,0.4091,0.96041,0.0017228,0.0017228,0.0017228
9,83.0051,0.73962,2.50508,0.36227,0.45672,0.95655,0.99431,0.99454,0.99132,0.80074,0.94515,0.94536,0.90088,0.63368,0.74694,1.46422,0.07682,0.40152,0.96399,0.0016832,0.0016832,0.0016832
10,92.0588,0.70764,2.38306,0.35651,0.43537,0.94684,0.99434,0.99454,0.99159,0.84103,0.93424,0.93443,0.90767,0.63094,0.6328,1.41455,0.08972,0.35834,0.93705,0.0016436,0.0016436,0.0016436
11,101.116,0.66708,2.08563,0.33639,0.41877,0.92927,0.99434,0.99454,0.98964,0.79884,0.95344,0.95355,0.94226,0.66074,0.71301,1.37114,0.08645,0.3958,0.95193,0.001604,0.001604,0.001604
12,110.111,0.67745,2.15221,0.34658,0.43046,0.93429,0.99435,0.99454,0.99288,0.81741,0.9643,0.96448,0.95146,0.71819,0.71223,1.12846,0.08753,0.38506,0.95535,0.0015644,0.0015644,0.0015644
