epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.643,1.35098,9.10606,0.60311,0.92776,1.18562,0.99617,1,0.99494,0.71598,0.06585,0.0565,0.00693,0.00088,1.00574,7.50626,0.394,0.63905,1.08292,0.00066087,0.00066087,0.00066087
2,33.97,1.02281,6.67342,0.44685,0.64845,1.04823,0.97467,0.94195,0.98972,0.75262,0.41285,0.37476,0.19664,0.04385,0.90269,5.05487,0.1423,0.68384,1.0147,0.00130125,0.00130125,0.00130125
3,50.3028,0.96655,4.39023,0.3673,0.62294,1.02844,0.98479,0.99435,0.99454,0.73459,0.74338,0.70056,0.55564,0.18061,0.92627,3.34407,0.08454,0.58636,1.08193,0.00191523,0.00191523,0.00191523
4,66.5038,0.90674,3.32722,0.3507,0.5757,1.01766,0.99945,1,0.995,0.8016,0.94512,0.94539,0.90243,0.45139,0.76149,1.74331,0.09316,0.52504,0.98454,0.0018812,0.0018812,0.0018812
5,82.7507,0.86907,2.64829,0.35742,0.54209,1.00422,0.99939,1,0.995,0.8011,0.96552,0.9661,0.94052,0.54374,0.74695,1.46655,0.10688,0.5096,0.96137,0.0018416,0.0018416,0.0018416
6,98.9992,0.79272,2.31021,0.32888,0.50974,0.97655,0.9977,1,0.995,0.82746,0.97715,0.97928,0.97953,0.73981,0.68324,1.04996,0.10669,0.45078,0.95047,0.001802,0.001802,0.001802
7,115.395,0.76852,2.10432,0.33386,0.49248,0.96982,0.99974,1,0.995,0.81912,0.96585,0.9661,0.95605,0.70982,0.71201,1.27143,0.10258,0.40835,0.95182,0.0017624,0.0017624,0.0017624
8,131.685,0.74058,1.89514,0.32679,0.47375,0.96643,0.99973,1,0.995,0.85538,0.97149,0.97175,0.97449,0.76626,0.63827,1.01495,0.1091,0.40089,0.92637,0.0017228,0.0017228,0.0017228
9,148.095,0.72417,1.78601,0.31703,0.46106,0.95363,0.99985,1,0.995,0.8584,0.99044,0.99058,0.98915,0.80387,0.59935,0.7433,0.10127,0.37263,0.90969,0.0016832,0.0016832,0.0016832
10,164.355,0.7192,1.7604,0.3203,0.45681,0.93912,0.99969,1,0.995,0.82298,0.98651,0.98682,0.97993,0.77579,0.72073,0.81271,0.1053,0.43088,0.9527,0.0016436,0.0016436,0.0016436
